"LOCATION","Country","VAR","Variable","ISIC4","ISIC4","SRC","Source","SCL","Size Class","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LVA","Latvia","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2016","2016","EUR","Euro","6","Millions",,,0.014,,
"LVA","Latvia","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2017","2017","EUR","Euro","6","Millions",,,0.014,,
"LVA","Latvia","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2018","2018","EUR","Euro","6","Millions",,,0.015,,
"LVA","Latvia","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2019","2019","EUR","Euro","6","Millions",,,0.017,,
"LVA","Latvia","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2020","2020","EUR","Euro","6","Millions",,,0.019,,
"LTU","Lithuania","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2005","2005","EUR","Euro","6","Millions",,,0.012,,
"LTU","Lithuania","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2006","2006","EUR","Euro","6","Millions",,,0.012,,
"LTU","Lithuania","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2007","2007","EUR","Euro","6","Millions",,,0.014,,
"LTU","Lithuania","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2008","2008","EUR","Euro","6","Millions",,,0.016,,
"LTU","Lithuania","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2009","2009","EUR","Euro","6","Millions",,,0.011,,
"LTU","Lithuania","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2010","2010","EUR","Euro","6","Millions",,,0.012,,
