"LOCATION","Country","IND","Variable","SEC","ISIC4","SCL","Size Class","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ESP","Spain","B_R","Birth rate of all enterprises","69_75","Professional, scientific and technical activities","TOTAL","Total","2020","2020","PC","Percentage","0","Units",,,6.5,,
"NLD","Netherlands","B_R","Birth rate of all enterprises","45_47","Wholesale and retail trade; repair of motor vehicles and motorcycles","TOTAL","Total","2007","2007","PC","Percentage","0","Units",,,13.3,"B","Break"
"NLD","Netherlands","B_R","Birth rate of all enterprises","45_47","Wholesale and retail trade; repair of motor vehicles and motorcycles","TOTAL","Total","2008","2008","PC","Percentage","0","Units",,,11,,
"NLD","Netherlands","B_R","Birth rate of all enterprises","45_47","Wholesale and retail trade; repair of motor vehicles and motorcycles","TOTAL","Total","2009","2009","PC","Percentage","0","Units",,,10.4,,
"NLD","Netherlands","B_R","Birth rate of all enterprises","45_47","Wholesale and retail trade; repair of motor vehicles and motorcycles","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,10.2,,
"NLD","Netherlands","B_R","Birth rate of all enterprises","45_47","Wholesale and retail trade; repair of motor vehicles and motorcycles","TOTAL","Total","2011","2011","PC","Percentage","0","Units",,,10.9,,
"NLD","Netherlands","B_R","Birth rate of all enterprises","45_47","Wholesale and retail trade; repair of motor vehicles and motorcycles","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,10.3,,
"NLD","Netherlands","B_R","Birth rate of all enterprises","45_47","Wholesale and retail trade; repair of motor vehicles and motorcycles","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,10.1,,
"NLD","Netherlands","B_R","Birth rate of all enterprises","45_47","Wholesale and retail trade; repair of motor vehicles and motorcycles","TOTAL","Total","2014","2014","PC","Percentage","0","Units",,,10.8,,
"NLD","Netherlands","B_R","Birth rate of all enterprises","45_47","Wholesale and retail trade; repair of motor vehicles and motorcycles","TOTAL","Total","2015","2015","PC","Percentage","0","Units",,,10,,
"NLD","Netherlands","B_R","Birth rate of all enterprises","45_47","Wholesale and retail trade; repair of motor vehicles and motorcycles","TOTAL","Total","2016","2016","PC","Percentage","0","Units",,,9.3,,
"NLD","Netherlands","B_R","Birth rate of all enterprises","45_47","Wholesale and retail trade; repair of motor vehicles and motorcycles","TOTAL","Total","2017","2017","PC","Percentage","0","Units",,,8.9,,
"NLD","Netherlands","B_R","Birth rate of all enterprises","45_47","Wholesale and retail trade; repair of motor vehicles and motorcycles","TOTAL","Total","2018","2018","PC","Percentage","0","Units",,,8.6,,
"NLD","Netherlands","B_R","Birth rate of all enterprises","45_47","Wholesale and retail trade; repair of motor vehicles and motorcycles","TOTAL","Total","2019","2019","PC","Percentage","0","Units",,,10.5,,
"NLD","Netherlands","B_R","Birth rate of all enterprises","45_47","Wholesale and retail trade; repair of motor vehicles and motorcycles","TOTAL","Total","2020","2020","PC","Percentage","0","Units",,,12.6,,
"LUX","Luxembourg","B_R","Birth rate of all enterprises","49_53","Transportation and storage","TOTAL","Total","2008","2008","PC","Percentage","0","Units",,,9.1,,
"LUX","Luxembourg","B_R","Birth rate of all enterprises","49_53","Transportation and storage","TOTAL","Total","2009","2009","PC","Percentage","0","Units",,,9,,
"LUX","Luxembourg","B_R","Birth rate of all enterprises","49_53","Transportation and storage","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,7.6,,
"LUX","Luxembourg","B_R","Birth rate of all enterprises","49_53","Transportation and storage","TOTAL","Total","2011","2011","PC","Percentage","0","Units",,,8.3,,
"LUX","Luxembourg","B_R","Birth rate of all enterprises","49_53","Transportation and storage","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,9.9,,
"LUX","Luxembourg","B_R","Birth rate of all enterprises","49_53","Transportation and storage","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,7.4,,
"LUX","Luxembourg","B_R","Birth rate of all enterprises","49_53","Transportation and storage","TOTAL","Total","2014","2014","PC","Percentage","0","Units",,,6.7,,
"LUX","Luxembourg","B_R","Birth rate of all enterprises","49_53","Transportation and storage","TOTAL","Total","2015","2015","PC","Percentage","0","Units",,,7.6,,
"LUX","Luxembourg","B_R","Birth rate of all enterprises","49_53","Transportation and storage","TOTAL","Total","2016","2016","PC","Percentage","0","Units",,,6.6,,
"LUX","Luxembourg","B_R","Birth rate of all enterprises","49_53","Transportation and storage","TOTAL","Total","2017","2017","PC","Percentage","0","Units",,,8.4,,
"LUX","Luxembourg","B_R","Birth rate of all enterprises","49_53","Transportation and storage","TOTAL","Total","2018","2018","PC","Percentage","0","Units",,,7.9,,
"LUX","Luxembourg","B_R","Birth rate of all enterprises","49_53","Transportation and storage","TOTAL","Total","2019","2019","PC","Percentage","0","Units",,,7.2,,
"LUX","Luxembourg","B_R","Birth rate of all enterprises","49_53","Transportation and storage","TOTAL","Total","2020","2020","PC","Percentage","0","Units",,,5.3,,
"IRL","Ireland","B_R","Birth rate of all enterprises","36_39","Water supply; sewerage, waste management and remediation activities","TOTAL","Total","2008","2008","PC","Percentage","0","Units",,,6.8,,
"IRL","Ireland","B_R","Birth rate of all enterprises","36_39","Water supply; sewerage, waste management and remediation activities","TOTAL","Total","2009","2009","PC","Percentage","0","Units",,,8.5,,
"IRL","Ireland","B_R","Birth rate of all enterprises","36_39","Water supply; sewerage, waste management and remediation activities","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,,"C","Non-publishable and confidential value"
"IRL","Ireland","B_R","Birth rate of all enterprises","36_39","Water supply; sewerage, waste management and remediation activities","TOTAL","Total","2011","2011","PC","Percentage","0","Units",,,7.5,,
"IRL","Ireland","B_R","Birth rate of all enterprises","36_39","Water supply; sewerage, waste management and remediation activities","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,7.2,,
"IRL","Ireland","B_R","Birth rate of all enterprises","36_39","Water supply; sewerage, waste management and remediation activities","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,,"C","Non-publishable and confidential value"
"IRL","Ireland","B_R","Birth rate of all enterprises","36_39","Water supply; sewerage, waste management and remediation activities","TOTAL","Total","2014","2014","PC","Percentage","0","Units",,,6.6,"B; E","Break; Estimated value"
"IRL","Ireland","B_R","Birth rate of all enterprises","36_39","Water supply; sewerage, waste management and remediation activities","TOTAL","Total","2015","2015","PC","Percentage","0","Units",,,6.3,,
"IRL","Ireland","B_R","Birth rate of all enterprises","36_39","Water supply; sewerage, waste management and remediation activities","TOTAL","Total","2016","2016","PC","Percentage","0","Units",,,5.2,,
"IRL","Ireland","B_R","Birth rate of all enterprises","36_39","Water supply; sewerage, waste management and remediation activities","TOTAL","Total","2017","2017","PC","Percentage","0","Units",,,4.9,,
"IRL","Ireland","B_R","Birth rate of all enterprises","36_39","Water supply; sewerage, waste management and remediation activities","TOTAL","Total","2018","2018","PC","Percentage","0","Units",,,4.7,,
"IRL","Ireland","B_R","Birth rate of all enterprises","36_39","Water supply; sewerage, waste management and remediation activities","TOTAL","Total","2020","2020","PC","Percentage","0","Units",,,5.6,,
"EST","Estonia","B_R","Birth rate of all enterprises","35","Electricity, gas, steam and air conditioning supply","TOTAL","Total","2008","2008","PC","Percentage","0","Units",,,17.3,,
"EST","Estonia","B_R","Birth rate of all enterprises","35","Electricity, gas, steam and air conditioning supply","TOTAL","Total","2009","2009","PC","Percentage","0","Units",,,5.3,,
